workload,workload_mix,scheme,off_chip_accesses,speedup,throughput,energy_pJ
MobileNetV2,Workload mix 1,Static,251744.0,1.0,3.922707692307692e-05,196330496.0
MobileNetV2,Workload mix 1,Dynamic,228496.28410730587,1.1885285312237557,4.662250011958589e-05,179856616.06027132
ResNet-18,Workload mix 1,Static,2249984.0,1.0,4.3149262466407884e-05,2387517440.0
ResNet-18,Workload mix 1,Dynamic,2218514.3174573584,1.1000546497859551,4.7466546811006586e-05,2357633643.533239
EfficientDet-Lite0,Workload mix 1,Static,339584.0,1.0,2.0434336677814938e-05,273633280.0
EfficientDet-Lite0,Workload mix 1,Dynamic,321227.16309719934,1.2237457297591647,2.5006432249937108e-05,260250943.3663366
DS-CNN-KWS,Workload mix 2,Static,459088.0,1.0,2.3997449715370016e-05,417964544.0
DS-CNN-KWS,Workload mix 2,Dynamic,432709.9756969702,1.2073955674992398,2.8974414417623652e-05,396291645.1736006
TinyBERT,Workload mix 2,Static,491520.0,1.0,5.222792337164751e-05,394264576.0
TinyBERT,Workload mix 2,Dynamic,393600.00000000006,1.2908101800989522,6.74163351735506e-05,320028049.82278484
U-Net,Workload mix 2,Static,1219136.0,1.0,2.7874751766138857e-05,933681152.0
U-Net,Workload mix 2,Dynamic,1113795.078221247,1.3224198742524154,3.686212572539464e-05,866024484.9779462
SSD-MobileNet,Workload mix 2,Static,1044960.0,1.0,1.1231273338940286e-05,1147102208.0
SSD-MobileNet,Workload mix 2,Dynamic,1040764.9262760624,1.068212561098059,1.1997387257781752e-05,1142600513.8298943
